Name,POS,GP,K,KPGP,GP82,GP100,GP120,GP130,GP140,GP150,GP160,GP162
Franmil ReyesCLE,DH,26,48,0.5416666666666666,44.416666666666664,54.166666666666664,65,70.41666666666666,75.83333333333333,81.25,86.66666666666666,87.75
Eugenio SuarezSEA,3B,31,42,0.7380952380952381,60.523809523809526,73.80952380952381,88.57142857142858,95.95238095238096,103.33333333333334,110.71428571428572,118.0952380952381,119.57142857142858
Patrick WisdomCHC,3B,28,42,0.6666666666666666,54.666666666666664,66.66666666666666,80,86.66666666666666,93.33333333333333,100,106.66666666666666,108
Dansby SwansonATL,SS,32,42,0.7619047619047619,62.476190476190474,76.19047619047619,91.42857142857142,99.04761904761904,106.66666666666666,114.28571428571428,121.9047619047619,123.42857142857142
Chris TaylorLAD,DH,27,41,0.6585365853658537,54,65.85365853658537,79.02439024390245,85.60975609756098,92.19512195121952,98.78048780487805,105.3658536585366,106.6829268292683
Adam DuvallATL,RF,31,40,0.775,63.550000000000004,77.5,93,100.75,108.5,116.25,124,125.55
Kyle SchwarberPHI,DH,30,40,0.75,61.5,75,90,97.5,105,112.5,120,121.5
Julio RodriguezSEA,CF,31,40,0.775,63.550000000000004,77.5,93,100.75,108.5,116.25,124,125.55
Cody BellingerLAD,CF,30,39,0.7692307692307693,63.07692307692308,76.92307692307693,92.3076923076923,100,107.6923076923077,115.38461538461539,123.07692307692308,124.61538461538463
Jorge SolerMIA,RF,31,38,0.8157894736842105,66.89473684210526,81.57894736842105,97.89473684210526,106.05263157894737,114.21052631578947,122.36842105263158,130.52631578947367,132.1578947368421
Ryan McMahonCOL,2B,30,38,0.7894736842105263,64.73684210526316,78.94736842105263,94.73684210526316,102.63157894736842,110.52631578947368,118.42105263157895,126.31578947368422,127.89473684210526
Adolis GarciaTEX,RF,30,38,0.7894736842105263,64.73684210526316,78.94736842105263,94.73684210526316,102.63157894736842,110.52631578947368,118.42105263157895,126.31578947368422,127.89473684210526
Trevor StoryBOS,2B,26,37,0.7027027027027027,57.62162162162163,70.27027027027027,84.32432432432432,91.35135135135135,98.37837837837839,105.40540540540542,112.43243243243244,113.83783783783784
Sean MurphyOAK,C,31,37,0.8378378378378378,68.70270270270271,83.78378378378379,100.54054054054053,108.91891891891892,117.29729729729729,125.67567567567568,134.05405405405406,135.72972972972974
Willy AdamesMIL,SS,32,37,0.8648648648648649,70.91891891891892,86.48648648648648,103.78378378378379,112.43243243243244,121.0810810810811,129.72972972972974,138.3783783783784,140.10810810810813
Aaron JudgeNYY,RF,30,36,0.8333333333333334,68.33333333333334,83.33333333333334,100,108.33333333333334,116.66666666666667,125,133.33333333333334,135
